case_id	label	x	y	z	block_state	expected
wire-orange_network_cable-west	orange_network_cable connected floor pair	186	100	190	morered:orange_network_cable[down=true]	connected-wire-visible
wire-orange_network_cable-east	orange_network_cable connected floor pair	187	100	190	morered:orange_network_cable[down=true]	connected-wire-visible
wire-magenta_network_cable-west	magenta_network_cable connected floor pair	190	100	190	morered:magenta_network_cable[down=true]	connected-wire-visible
wire-magenta_network_cable-east	magenta_network_cable connected floor pair	191	100	190	morered:magenta_network_cable[down=true]	connected-wire-visible
wire-light_blue_network_cable-west	light_blue_network_cable connected floor pair	194	100	190	morered:light_blue_network_cable[down=true]	connected-wire-visible
wire-light_blue_network_cable-east	light_blue_network_cable connected floor pair	195	100	190	morered:light_blue_network_cable[down=true]	connected-wire-visible
wire-yellow_network_cable-west	yellow_network_cable connected floor pair	174	100	194	morered:yellow_network_cable[down=true]	connected-wire-visible
wire-yellow_network_cable-east	yellow_network_cable connected floor pair	175	100	194	morered:yellow_network_cable[down=true]	connected-wire-visible
wire-lime_network_cable-west	lime_network_cable connected floor pair	178	100	194	morered:lime_network_cable[down=true]	connected-wire-visible
wire-lime_network_cable-east	lime_network_cable connected floor pair	179	100	194	morered:lime_network_cable[down=true]	connected-wire-visible
wire-pink_network_cable-west	pink_network_cable connected floor pair	182	100	194	morered:pink_network_cable[down=true]	connected-wire-visible
wire-pink_network_cable-east	pink_network_cable connected floor pair	183	100	194	morered:pink_network_cable[down=true]	connected-wire-visible
wire-gray_network_cable-west	gray_network_cable connected floor pair	186	100	194	morered:gray_network_cable[down=true]	connected-wire-visible
wire-gray_network_cable-east	gray_network_cable connected floor pair	187	100	194	morered:gray_network_cable[down=true]	connected-wire-visible
wire-light_gray_network_cable-west	light_gray_network_cable connected floor pair	190	100	194	morered:light_gray_network_cable[down=true]	connected-wire-visible
wire-light_gray_network_cable-east	light_gray_network_cable connected floor pair	191	100	194	morered:light_gray_network_cable[down=true]	connected-wire-visible
wire-cyan_network_cable-west	cyan_network_cable connected floor pair	194	100	194	morered:cyan_network_cable[down=true]	connected-wire-visible
wire-cyan_network_cable-east	cyan_network_cable connected floor pair	195	100	194	morered:cyan_network_cable[down=true]	connected-wire-visible
wire-purple_network_cable-west	purple_network_cable connected floor pair	174	100	198	morered:purple_network_cable[down=true]	connected-wire-visible
wire-purple_network_cable-east	purple_network_cable connected floor pair	175	100	198	morered:purple_network_cable[down=true]	connected-wire-visible
wire-blue_network_cable-west	blue_network_cable connected floor pair	178	100	198	morered:blue_network_cable[down=true]	connected-wire-visible
wire-blue_network_cable-east	blue_network_cable connected floor pair	179	100	198	morered:blue_network_cable[down=true]	connected-wire-visible
wire-brown_network_cable-west	brown_network_cable connected floor pair	182	100	198	morered:brown_network_cable[down=true]	connected-wire-visible
wire-brown_network_cable-east	brown_network_cable connected floor pair	183	100	198	morered:brown_network_cable[down=true]	connected-wire-visible
wire-green_network_cable-west	green_network_cable connected floor pair	186	100	198	morered:green_network_cable[down=true]	connected-wire-visible
wire-green_network_cable-east	green_network_cable connected floor pair	187	100	198	morered:green_network_cable[down=true]	connected-wire-visible
wire-red_network_cable-west	red_network_cable connected floor pair	190	100	198	morered:red_network_cable[down=true]	connected-wire-visible
wire-red_network_cable-east	red_network_cable connected floor pair	191	100	198	morered:red_network_cable[down=true]	connected-wire-visible
wire-black_network_cable-west	black_network_cable connected floor pair	194	100	198	morered:black_network_cable[down=true]	connected-wire-visible
wire-black_network_cable-east	black_network_cable connected floor pair	195	100	198	morered:black_network_cable[down=true]	connected-wire-visible
cross-red_alloy_wire-center	red_alloy_wire floor cross	176	100	203	morered:red_alloy_wire[down=true]	connected-wire-visible
cross-red_alloy_wire-west	red_alloy_wire floor cross	175	100	203	morered:red_alloy_wire[down=true]	connected-wire-visible
cross-red_alloy_wire-east	red_alloy_wire floor cross	177	100	203	morered:red_alloy_wire[down=true]	connected-wire-visible
cross-red_alloy_wire-north	red_alloy_wire floor cross	176	100	202	morered:red_alloy_wire[down=true]	connected-wire-visible
cross-red_alloy_wire-south	red_alloy_wire floor cross	176	100	204	morered:red_alloy_wire[down=true]	connected-wire-visible
cross-bundled_network_cable-center	bundled_network_cable floor cross	187	100	203	morered:bundled_network_cable[down=true]	connected-wire-visible
cross-bundled_network_cable-west	bundled_network_cable floor cross	186	100	203	morered:bundled_network_cable[down=true]	connected-wire-visible
cross-bundled_network_cable-east	bundled_network_cable floor cross	188	100	203	morered:bundled_network_cable[down=true]	connected-wire-visible
cross-bundled_network_cable-north	bundled_network_cable floor cross	187	100	202	morered:bundled_network_cable[down=true]	connected-wire-visible
cross-bundled_network_cable-south	bundled_network_cable floor cross	187	100	204	morered:bundled_network_cable[down=true]	connected-wire-visible
hexidecrubrometer-power-15	hexidecrubrometer maximum power state	194	100	203	morered:hexidecrubrometer[face=floor,facing=north,power=15]	stock-resource-visible
multiplexer-input-b	multiplexer switched input state	197	100	203	morered:multiplexer[facing=down,rotation=0,input_b=true]	stock-resource-visible
pulse-gate-input-b	pulse gate switched input state	200	100	203	morered:pulse_gate[facing=down,rotation=0,input_b=true]	stock-resource-visible
stock-control	stone stock rendering control	203	100	203	minecraft:stone	stock-visible
